company_name,domain,year,program,location,industries,description,image_url,linkedin_url,twitter_url,crunchbase_url
Occipital,https://canvas.io/,2008,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Augmented reality,Mobile",Mobile computer vision,https://apimg.techstars.com/connect/images/image_files/5359/5e46/a9f4/89ba/2900/0006/original/occipital.jpg,https://linkedin.com/company/occipital,https://twitter.com/occipital,https://crunchbase.com/organization/occipital
altvia,https://altvia.com/,2008,Techstars Boulder Accelerator,"Broomfield, Colorado, United States",Marketing tech,Solutions for alternative asset managers,https://apimg.techstars.com/connect/images/image_files/5e73493234a60d6abc000093/original/Copy_of_AV_-_Logo_2CP.jpg,https://linkedin.com/company/application-experts-llc,https://twitter.com/altvia,https://crunchbase.com/organization/altvia
DailyBurn,https://dailyburn.com/,2008,Techstars Boulder Accelerator,"New York City, New York, United States",Fintech,Nutrition and fitness social network,http://apimg.techstars.com/sf/accounts/logo/Logo_6d0123be99a14ebdc46336125.jpeg,https://linkedin.com/company/daily-burn-an-iac-company,https://twitter.com/dailyburn,https://crunchbase.com/organization/dailyburn
StepOut,https://stepout.com/,2008,Techstars Boulder Accelerator,"New York City, New York, United States","Fintech,Mobile",Group dating,https://apimg.techstars.com/connect/images/image_files/5359/5e5f/a9f4/89a6/2900/0005/original/stepout.jpg,https://linkedin.com/company/593177,https://twitter.com/stepoutnow,https://crunchbase.com/organization/stepout
Foodzie,https://foodzie.com/,2008,Techstars Boulder Accelerator,"San Francisco, California, United States",E-commerce,Web-based artisan food subscription,https://apimg.techstars.com/connect/images/image_files/53d6c3a5b5e11e63ac000007/original/foodzie2.png,https://linkedin.com/company/203067,https://twitter.com/foodzie,https://crunchbase.com/organization/foodzie
Using Miles,https://usingmiles.com/,2008,Techstars Boulder Accelerator,"Denver, Colorado, United States",Fintech,Award cash travel meta search,https://apimg.techstars.com/connect/images/image_files/53d6c46eaf05d7c445000003/original/usingmiles2.gif,https://linkedin.com/company/usingmiles.com,https://twitter.com/usingmiles,https://crunchbase.com/organization/usingmiles
The Highway Girl,,2008,Techstars Boulder Accelerator,"Atlanta, Georgia, United States","E-commerce,Lifestyles of Health and Sustainability and wellness",A traveling music show website and tour,https://apimg.techstars.com/connect/images/image_files/5359/5e99/a9f4/89a6/2900/0006/original/THG.jpg,https://linkedin.com/company/the-highway-girl,https://twitter.com/thehighwaygirl,https://crunchbase.com/organization/the-highway-girl
People's Software,,2008,Techstars Boulder Accelerator,"New York City, New York, United States",Fintech,Scheduling on the go,https://s3.amazonaws.com/companies-techstars-images/001E000000SskPtIAJ.jpg,,,https://crunchbase.com/organization/peoples-software-company
Devver,,2008,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Cloudtech and DevOps,Fintech",Ruby testing tools,https://apimg.techstars.com/connect/images/image_files/5359/5e2a/a9f4/89dc/2400/0007/original/devver.jpg,https://linkedin.com/company/devver-inc.,https://twitter.com/devver,https://crunchbase.com/organization/devver
Buy Play Win,,2008,Techstars Boulder Accelerator,"Boulder, Colorado, United States","E-commerce,Fintech",Combines online shopping with tournament games,https://apimg.techstars.com/connect/images/image_files/5359/5e0d/a9f4/89ba/2900/0005/original/BPW.jpg,https://linkedin.com/company/buyplaywin-inc.,https://twitter.com/BuyPlayWin,https://crunchbase.com/organization/buyplaywin
